#{"t_start": 1620892422.01914, "env_id": "CartPole-v0"}
10.0,10,103.809504
8.0,8,103.823963
9.0,9,103.840814
10.0,10,103.859487
10.0,10,103.877407
9.0,9,103.893438
9.0,9,103.909561
9.0,9,103.926019
9.0,9,103.942191
9.0,9,103.958349
9.0,9,103.974515
10.0,10,103.992451
10.0,10,104.01037
8.0,8,104.024657
9.0,9,104.040755
9.0,9,104.056944
9.0,9,104.073089
10.0,10,104.09101
10.0,10,104.110533
9.0,9,104.127377
10.0,10,104.145822
10.0,10,104.164414
10.0,10,104.182705
10.0,10,104.201867
10.0,10,104.219762
10.0,10,104.237617
9.0,9,104.253598
10.0,10,104.271567
10.0,10,104.289361
10.0,10,104.307144
8.0,8,104.321399
9.0,9,104.33738
11.0,11,104.357057
10.0,10,104.374932
11.0,11,104.394469
9.0,9,104.411244
9.0,9,104.427827
9.0,9,104.444447
10.0,10,104.464209
9.0,9,104.481431
9.0,9,104.49863
9.0,9,104.515509
9.0,9,104.532291
10.0,10,104.551381
10.0,10,104.570284
11.0,11,104.590732
9.0,9,104.607388
8.0,8,104.622299
9.0,9,104.63914
10.0,10,104.657639
10.0,10,104.676206
9.0,9,104.693532
9.0,9,104.710649
8.0,8,104.726401
9.0,9,104.743965
10.0,10,104.763519
9.0,9,104.781114
10.0,10,104.800492
10.0,10,104.819835
9.0,9,104.837388
10.0,10,104.856384
10.0,10,104.875051
9.0,9,104.892244
10.0,10,104.911273
11.0,11,104.9318
8.0,8,104.946604
10.0,10,104.965338
9.0,9,104.981945
10.0,10,105.00045
10.0,10,105.018914
9.0,9,105.035763
9.0,9,105.053226
10.0,10,105.072661
10.0,10,105.092381
10.0,10,105.112492
10.0,10,107.857387
9.0,9,107.874698
10.0,10,107.894385
10.0,10,107.913644
10.0,10,107.933312
8.0,8,107.94906
10.0,10,107.96871
10.0,10,107.988388
8.0,8,108.004118
8.0,8,108.019861
9.0,9,108.037548
10.0,10,108.057191
9.0,9,108.074922
9.0,9,108.092607
9.0,9,108.11047
8.0,8,108.126271
10.0,10,108.145732
9.0,9,108.163496
8.0,8,108.179118
10.0,10,108.198615
9.0,9,108.216567
9.0,9,108.234181
10.0,10,108.253532
10.0,10,108.273257
9.0,9,108.29089
10.0,10,108.3104
8.0,8,108.325844
10.0,10,108.345313
9.0,9,108.362855
10.0,10,108.382629
10.0,10,108.402247
8.0,8,108.417646
10.0,10,108.437301
8.0,8,108.452671
8.0,8,108.468482
10.0,10,108.489724
10.0,10,108.511242
10.0,10,108.532063
10.0,10,108.551973
10.0,10,108.571399
9.0,9,108.588814
10.0,10,108.608777
8.0,8,108.624771
9.0,9,108.642771
9.0,9,108.660794
8.0,8,108.676794
11.0,11,108.698786
10.0,10,108.71879
10.0,10,108.738752
9.0,9,108.756747
9.0,9,108.774786
8.0,8,108.790784
8.0,8,108.806753
8.0,8,108.822749
10.0,10,108.842682
8.0,8,108.858175
10.0,10,108.877575
9.0,9,108.895286
10.0,10,108.914603
8.0,8,108.93033
9.0,9,108.947677
10.0,10,108.967531
10.0,10,108.987176
9.0,9,109.004491
10.0,10,109.023106
9.0,9,109.039491
8.0,8,109.054027
10.0,10,109.072172
9.0,9,109.088637
10.0,10,109.107102
10.0,10,109.125254
10.0,10,109.143409
11.0,11,109.163607
10.0,10,109.181995
9.0,9,109.198685
9.0,9,109.215009
10.0,10,109.233124
9.0,9,109.24946
10.0,10,109.267581
11.0,11,109.287632
10.0,10,109.305822
9.0,9,109.322199
9.0,9,109.338608
11.0,11,109.358738
8.0,8,109.374045
8.0,8,109.388812
8.0,8,109.403562
9.0,9,109.420257
10.0,10,109.43866
9.0,9,109.45541
9.0,9,109.472757
10.0,10,109.491405
9.0,9,109.508136
10.0,10,109.526574
9.0,9,109.543276
9.0,9,109.560178
10.0,10,109.578557
10.0,10,109.596889
8.0,8,109.611444
9.0,9,109.627827
8.0,8,109.642354
10.0,10,109.660507
10.0,10,109.678741
10.0,10,109.696944
9.0,9,109.713253
10.0,10,109.731605
10.0,10,109.750705
10.0,10,109.769611
10.0,10,109.788308
9.0,9,109.805036
9.0,9,109.821637
9.0,9,109.838561
8.0,8,109.853834
10.0,10,109.872076
10.0,10,109.890189
9.0,9,109.90651
9.0,9,109.922781
9.0,9,109.939054
9.0,9,109.955327
10.0,10,109.973429
11.0,11,109.993342
9.0,9,110.009717
10.0,10,110.028373
9.0,9,110.044889
10.0,10,110.063118
10.0,10,110.081309
9.0,9,110.097902
9.0,9,110.114347
9.0,9,110.130796
9.0,9,110.147289
8.0,8,110.162077
10.0,10,110.180513
10.0,10,110.198879
10.0,10,110.216889
9.0,9,110.233116
10.0,10,110.251175
10.0,10,110.269279
10.0,10,110.287689
10.0,10,110.306493
10.0,10,110.325083
9.0,9,110.341513
8.0,8,110.356332
9.0,9,110.372908
9.0,9,110.38947
10.0,10,110.407913
8.0,8,110.422611
10.0,10,110.441588
9.0,9,110.45861
9.0,9,110.47595
8.0,8,110.491112
9.0,9,110.508439
9.0,9,110.525604
10.0,10,110.545104
10.0,10,110.56444
10.0,10,110.583655
10.0,10,110.602895
9.0,9,110.619202
10.0,10,110.63731
9.0,9,110.653584
9.0,9,110.669956
10.0,10,110.688011
10.0,10,110.706128
8.0,8,110.7206
10.0,10,110.738843
10.0,10,110.757113
9.0,9,110.773614
9.0,9,110.789877
8.0,8,110.804362
9.0,9,110.820726
9.0,9,110.837155
10.0,10,110.855339
8.0,8,110.869992
9.0,9,110.886589
8.0,8,110.901655
10.0,10,110.919918
9.0,9,110.936425
10.0,10,110.954681
9.0,9,110.971125
11.0,11,110.991352
9.0,9,111.007848
10.0,10,111.026179
9.0,9,111.04273
9.0,9,111.05922
9.0,9,111.075716
9.0,9,111.092964
10.0,10,111.112254
10.0,10,111.131119
10.0,10,111.149894
8.0,8,111.165235
9.0,9,111.183193
8.0,8,111.198778
11.0,11,111.218783
9.0,9,111.235972
10.0,10,111.256577
10.0,10,111.276082
9.0,9,111.292767
8.0,8,111.308444
9.0,9,111.326016
9.0,9,111.342911
8.0,8,111.357592
10.0,10,111.37631
10.0,10,111.395402
9.0,9,111.412101
10.0,10,111.430671
9.0,9,111.447712
8.0,8,111.463203
9.0,9,111.479531
10.0,10,111.497684
10.0,10,111.516251
9.0,9,111.53333
11.0,11,111.553653
11.0,11,111.574156
10.0,10,111.592595
9.0,9,111.609374
9.0,9,111.626209
10.0,10,111.644194
9.0,9,111.660454
8.0,8,111.674839
9.0,9,111.691023
10.0,10,111.709022
9.0,9,114.42669
9.0,9,114.442986
10.0,10,114.461183
8.0,8,114.476635
8.0,8,114.492286
9.0,9,114.509506
10.0,10,114.528602
10.0,10,114.547138
9.0,9,114.563719
9.0,9,114.580443
8.0,8,114.59547
9.0,9,114.612056
10.0,10,114.630227
9.0,9,114.646603
10.0,10,114.66506
9.0,9,114.681457
9.0,9,114.697805
9.0,9,114.714271
11.0,11,114.734438
10.0,10,114.75281
9.0,9,114.769278
10.0,10,114.7874
9.0,9,114.803698
10.0,10,114.821821
8.0,8,114.836354
9.0,9,114.85291
10.0,10,114.871207
9.0,9,114.887503
9.0,9,114.903774
10.0,10,114.921902
8.0,8,114.936382
10.0,10,114.954544
8.0,8,114.969054
10.0,10,114.987181
10.0,10,115.005407
8.0,8,115.019876
9.0,9,115.03612
8.0,8,115.050571
10.0,10,115.068928
9.0,9,115.085422
10.0,10,115.103782
9.0,9,115.120049
10.0,10,115.138057
9.0,9,115.155043
10.0,10,115.173798
9.0,9,115.190935
10.0,10,115.210094
10.0,10,115.22894
10.0,10,115.248055
10.0,10,115.266876
9.0,9,115.283662
9.0,9,115.300462
8.0,8,115.315153
10.0,10,115.334169
10.0,10,115.352983
10.0,10,115.371455
10.0,10,115.390141
9.0,9,115.406842
9.0,9,115.423538
9.0,9,115.440109
9.0,9,115.456804
9.0,9,115.473685
10.0,10,115.49295
10.0,10,115.511989
10.0,10,115.53191
10.0,10,115.550719
10.0,10,115.569865
10.0,10,115.58937
10.0,10,115.608486
10.0,10,115.62742
10.0,10,115.645755
10.0,10,115.66406
10.0,10,115.682419
11.0,11,115.702657
8.0,8,115.717356
10.0,10,115.735809
9.0,9,115.752455
10.0,10,115.770974
9.0,9,115.787464
9.0,9,115.804007
8.0,8,115.818677
10.0,10,115.836989
10.0,10,115.855297
10.0,10,115.873671
9.0,9,115.890119
9.0,9,115.906503
10.0,10,115.924726
9.0,9,115.941204
8.0,8,115.955893
9.0,9,115.972306
10.0,10,115.990524
9.0,9,116.007016
10.0,10,116.025188
10.0,10,116.043369
9.0,9,116.059833
10.0,10,116.07829
10.0,10,116.096904
9.0,9,116.113667
10.0,10,116.132043
10.0,10,116.150821
9.0,9,116.167489
9.0,9,116.184327
8.0,8,116.199282
10.0,10,116.21757
10.0,10,116.235807
10.0,10,116.254341
10.0,10,116.272544
9.0,9,116.289021
9.0,9,116.305375
9.0,9,116.321778
9.0,9,116.338212
8.0,8,116.352867
9.0,9,116.3699
10.0,10,116.388484
10.0,10,116.407044
10.0,10,116.425187
10.0,10,116.44334
9.0,9,116.459654
9.0,9,116.475964
10.0,10,116.494469
10.0,10,116.513879
10.0,10,116.533287
9.0,9,116.550746
9.0,9,116.568015
9.0,9,116.584825
9.0,9,116.602054
9.0,9,116.619024
10.0,10,116.637671
9.0,9,116.654973
9.0,9,116.67223
10.0,10,116.691224
9.0,9,116.708398
10.0,10,116.727616
9.0,9,116.744998
9.0,9,116.762585
10.0,10,116.782048
9.0,9,116.799747
10.0,10,116.819236
9.0,9,116.836833
8.0,8,116.852441
10.0,10,116.871666
9.0,9,116.888857
10.0,10,116.907567
8.0,8,116.922421
9.0,9,116.939117
9.0,9,116.955719
8.0,8,116.970264
9.0,9,116.986608
10.0,10,117.005145
8.0,8,117.019835
10.0,10,117.038186
10.0,10,117.056721
10.0,10,117.075152
10.0,10,117.09357
10.0,10,117.112391
9.0,9,117.128962
8.0,8,117.143507
8.0,8,117.158219
10.0,10,117.176718
10.0,10,117.195277
9.0,9,117.211732
8.0,8,117.226324
10.0,10,117.244439
9.0,9,117.260772
10.0,10,117.278949
10.0,10,117.297243
10.0,10,117.315593
10.0,10,117.333687
10.0,10,117.351839
8.0,8,117.366381
9.0,9,117.382792
8.0,8,117.397405
9.0,9,117.413972
9.0,9,117.430437
9.0,9,117.446966
10.0,10,117.465276
9.0,9,117.481728
9.0,9,117.498169
9.0,9,117.514633
9.0,9,117.531086
10.0,10,117.549199
8.0,8,117.563727
9.0,9,117.580025
10.0,10,117.598255
9.0,9,117.614563
8.0,8,117.62911
10.0,10,117.647278
9.0,9,117.663813
9.0,9,117.680289
10.0,10,117.698619
9.0,9,117.714957
9.0,9,117.731427
8.0,8,117.745977
9.0,9,117.76248
10.0,10,117.780661
8.0,8,117.795237
9.0,9,117.811707
8.0,8,117.826427
9.0,9,117.842948
10.0,10,117.861283
10.0,10,117.879607
10.0,10,117.897997
9.0,9,117.914353
10.0,10,117.932621
10.0,10,117.95096
9.0,9,117.967543
9.0,9,117.984068
9.0,9,118.000582
10.0,10,118.018933
10.0,10,118.03723
9.0,9,118.053687
10.0,10,118.071868
9.0,9,118.088393
9.0,9,118.104983
9.0,9,118.121331
8.0,8,118.135893
10.0,10,118.154055
10.0,10,118.172192
10.0,10,118.190578
10.0,10,120.919759
8.0,8,120.934731
9.0,9,120.951556
10.0,10,120.970284
8.0,8,120.985912
10.0,10,121.005685
9.0,9,121.023401
10.0,10,121.043266
9.0,9,121.060487
8.0,8,121.075492
10.0,10,121.094301
9.0,9,121.112572
10.0,10,121.131402
8.0,8,121.146857
9.0,9,121.164961
8.0,8,121.180379
9.0,9,121.19909
9.0,9,121.216169
10.0,10,121.234978
10.0,10,121.254521
10.0,10,121.274185
9.0,9,121.291705
9.0,9,121.309608
10.0,10,121.329512
10.0,10,121.349585
9.0,9,121.369043
9.0,9,121.386898
9.0,9,121.404733
9.0,9,121.422649
9.0,9,121.440518
10.0,10,121.461304
10.0,10,121.482943
9.0,9,121.499625
8.0,8,121.514392
9.0,9,121.531003
10.0,10,121.549427
10.0,10,121.56797
10.0,10,121.586467
9.0,9,121.603667
9.0,9,121.621465
9.0,9,121.639316
10.0,10,121.657813
10.0,10,121.676275
9.0,9,121.692878
9.0,9,121.710261
10.0,10,121.729332
10.0,10,121.748511
9.0,9,121.766214
10.0,10,121.78572
8.0,8,121.801417
10.0,10,121.820604
8.0,8,121.836251
8.0,8,121.852151
10.0,10,121.873079
8.0,8,121.888712
10.0,10,121.907446
9.0,9,121.924258
8.0,8,121.939286
10.0,10,121.958355
10.0,10,121.976913
8.0,8,121.991759
10.0,10,122.010623
10.0,10,122.029063
10.0,10,122.047532
9.0,9,122.064208
10.0,10,122.082781
9.0,9,122.100115
8.0,8,122.115136
9.0,9,122.131789
10.0,10,122.15036
8.0,8,122.165366
9.0,9,122.182532
9.0,9,122.19983
9.0,9,122.216416
10.0,10,122.234761
9.0,9,122.251256
11.0,11,122.271616
9.0,9,122.288205
10.0,10,122.307522
8.0,8,122.323594
10.0,10,122.343515
9.0,9,122.360421
9.0,9,122.377285
9.0,9,122.394354
9.0,9,122.41131
9.0,9,122.427866
10.0,10,122.44618
9.0,9,122.462745
10.0,10,122.481127
10.0,10,122.499448
8.0,8,122.514134
10.0,10,122.532698
10.0,10,122.551445
9.0,9,122.568282
8.0,8,122.583226
8.0,8,122.598177
8.0,8,122.612989
8.0,8,122.627786
10.0,10,122.646181
9.0,9,122.66275
10.0,10,122.681237
9.0,9,122.697927
9.0,9,122.715459
10.0,10,122.734384
9.0,9,122.751362
10.0,10,122.770423
10.0,10,122.789692
11.0,11,122.810468
9.0,9,122.827491
10.0,10,122.8464
9.0,9,122.863194
10.0,10,122.881793
9.0,9,122.898396
9.0,9,122.914992
10.0,10,122.933404
9.0,9,122.949983
9.0,9,122.966515
9.0,9,122.983092
10.0,10,123.001516
8.0,8,123.016222
10.0,10,123.034585
9.0,9,123.051187
9.0,9,123.067735
10.0,10,123.086123
9.0,9,123.102737
8.0,8,123.11747
9.0,9,123.134015
10.0,10,123.152386
9.0,9,123.16897
9.0,9,123.185483
9.0,9,123.202036
10.0,10,123.221059
11.0,11,123.242086
9.0,9,123.259206
10.0,10,123.27827
8.0,8,123.293507
8.0,8,123.309464
9.0,9,123.32683
9.0,9,123.344242
9.0,9,123.36158
10.0,10,123.380979
10.0,10,123.400697
10.0,10,123.419646
8.0,8,123.43472
10.0,10,123.453564
8.0,8,123.46939
10.0,10,123.489836
9.0,9,123.507365
9.0,9,123.524623
9.0,9,123.542106
9.0,9,123.55951
9.0,9,123.5778
8.0,8,123.59314
10.0,10,123.612296
9.0,9,123.629415
8.0,8,123.644639
9.0,9,123.661773
9.0,9,123.678959
10.0,10,123.698048
10.0,10,123.717085
9.0,9,123.734253
9.0,9,123.751459
10.0,10,123.770591
9.0,9,123.787821
10.0,10,123.806847
10.0,10,123.825828
10.0,10,123.844837
11.0,11,123.865698
11.0,11,123.886626
10.0,10,123.905648
8.0,8,123.920867
9.0,9,123.937972
9.0,9,123.955057
10.0,10,123.974081
8.0,8,123.989272
8.0,8,124.004518
8.0,8,124.01973
8.0,8,124.034913
10.0,10,124.053694
10.0,10,124.072363
10.0,10,124.091166
9.0,9,124.108093
9.0,9,124.124931
8.0,8,124.140011
10.0,10,124.158736
9.0,9,124.175655
8.0,8,124.190752
10.0,10,124.209491
9.0,9,124.226485
8.0,8,124.241491
10.0,10,124.26035
10.0,10,124.279254
8.0,8,124.294326
10.0,10,124.313798
10.0,10,124.332745
9.0,9,124.349797
10.0,10,124.368685
9.0,9,124.386516
8.0,8,124.402146
10.0,10,124.420945
9.0,9,124.437455
10.0,10,124.45579
11.0,11,124.475902
9.0,9,124.492407
8.0,8,124.50705
10.0,10,124.525346
9.0,9,124.542001
10.0,10,124.560341
10.0,10,124.578648
9.0,9,124.595153
10.0,10,124.613467
10.0,10,124.632102
10.0,10,124.650392
9.0,9,124.6669
10.0,10,124.685233
9.0,9,124.701717
11.0,11,124.721866
9.0,9,124.738318
10.0,10,124.756764
11.0,11,124.776905
10.0,10,127.527008
9.0,9,127.543628
10.0,10,127.56231
9.0,9,127.579887
10.0,10,127.598745
9.0,9,127.616376
9.0,9,127.633577
9.0,9,127.650396
8.0,8,127.665481
10.0,10,127.684696
10.0,10,127.70326
9.0,9,127.719944
9.0,9,127.736651
9.0,9,127.753371
9.0,9,127.770111
9.0,9,127.786847
10.0,10,127.805542
10.0,10,127.824291
9.0,9,127.84094
9.0,9,127.857579
9.0,9,127.874289
9.0,9,127.89099
10.0,10,127.909593
10.0,10,127.928207
10.0,10,127.94663
10.0,10,127.965109
9.0,9,127.981716
10.0,10,128.000327
9.0,9,128.0171
10.0,10,128.035572
9.0,9,128.052214
9.0,9,128.068881
10.0,10,128.087436
10.0,10,128.106146
10.0,10,128.124712
10.0,10,128.143164
9.0,9,128.15978
10.0,10,128.178294
9.0,9,128.194979
10.0,10,128.213603
9.0,9,128.230301
9.0,9,128.247106
10.0,10,128.265799
10.0,10,128.284366
9.0,9,128.301206
10.0,10,128.320439
10.0,10,128.339277
9.0,9,128.356229
9.0,9,128.373269
10.0,10,128.392288
10.0,10,128.411415
8.0,8,128.426396
8.0,8,128.441252
9.0,9,128.457799
10.0,10,128.476967
10.0,10,128.496285
8.0,8,128.511553
10.0,10,128.530209
9.0,9,128.54709
9.0,9,128.564407
10.0,10,128.583552
9.0,9,128.600708
8.0,8,128.6158
10.0,10,128.635213
8.0,8,128.650547
9.0,9,128.667343
11.0,11,128.687799
10.0,10,128.706878
8.0,8,128.722112
10.0,10,128.74068
10.0,10,128.760034
9.0,9,128.776858
10.0,10,128.796037
8.0,8,128.81169
9.0,9,128.828642
9.0,9,128.846083
8.0,8,128.861584
9.0,9,128.879082
8.0,8,128.894338
10.0,10,128.913363
10.0,10,128.931901
9.0,9,128.948672
9.0,9,128.96527
9.0,9,128.981859
9.0,9,128.998495
9.0,9,129.015877
9.0,9,129.032405
10.0,10,129.050664
8.0,8,129.065264
9.0,9,129.082096
9.0,9,129.100615
9.0,9,129.118001
10.0,10,129.136202
8.0,8,129.15078
9.0,9,129.167125
9.0,9,129.184414
10.0,10,129.203922
10.0,10,129.222954
10.0,10,129.241197
9.0,9,129.257602
10.0,10,129.275833
10.0,10,129.294022
9.0,9,129.310449
9.0,9,129.327556
10.0,10,129.345856
9.0,9,129.362341
10.0,10,129.380809
10.0,10,129.399292
9.0,9,129.416467
10.0,10,129.435026
9.0,9,129.451462
10.0,10,129.469872
9.0,9,129.486423
8.0,8,129.501669
9.0,9,129.518944
10.0,10,129.537726
9.0,9,129.554454
9.0,9,129.571183
8.0,8,129.585961
9.0,9,129.602438
9.0,9,129.618788
11.0,11,129.63875
10.0,10,129.656947
9.0,9,129.673306
10.0,10,129.691445
9.0,9,129.707789
10.0,10,129.725959
9.0,9,129.74229
10.0,10,129.760526
11.0,11,129.780491
10.0,10,129.798598
10.0,10,129.816777
9.0,9,129.833091
10.0,10,129.85122
9.0,9,129.867558
9.0,9,129.883869
9.0,9,129.900205
9.0,9,129.916584
10.0,10,129.935401
10.0,10,129.953846
10.0,10,129.972243
8.0,8,129.986759
10.0,10,130.005212
9.0,9,130.022176
10.0,10,130.041081
10.0,10,130.06004
9.0,9,130.076528
10.0,10,130.094897
10.0,10,130.113308
8.0,8,130.128146
10.0,10,130.146475
8.0,8,130.161228
9.0,9,130.177831
8.0,8,130.192538
10.0,10,130.210737
10.0,10,130.228947
10.0,10,130.247129
10.0,10,130.265344
10.0,10,130.28353
9.0,9,130.299933
11.0,11,130.320188
10.0,10,130.338395
10.0,10,130.356632
10.0,10,130.375003
9.0,9,130.391404
10.0,10,130.409759
10.0,10,130.428125
10.0,10,130.446461
9.0,9,130.463054
9.0,9,130.479398
10.0,10,130.497779
11.0,11,130.517797
10.0,10,130.536228
9.0,9,130.552611
10.0,10,130.570903
10.0,10,130.589176
10.0,10,130.607503
10.0,10,130.625819
10.0,10,130.644022
8.0,8,130.658475
9.0,9,130.67469
9.0,9,130.69104
9.0,9,130.707294
8.0,8,130.721992
9.0,9,130.738237
10.0,10,130.756261
9.0,9,130.772576
10.0,10,130.79059
10.0,10,130.808591
10.0,10,130.827007
9.0,9,130.843722
10.0,10,130.862224
9.0,9,130.878742
9.0,9,130.8953
10.0,10,130.913832
9.0,9,130.930534
9.0,9,130.947263
10.0,10,130.965895
8.0,8,130.980651
9.0,9,130.997925
9.0,9,131.014735
10.0,10,131.033391
10.0,10,131.052064
9.0,9,131.068794
10.0,10,131.087572
11.0,11,131.108592
9.0,9,131.12531
8.0,8,131.140112
10.0,10,131.158612
10.0,10,131.177219
10.0,10,131.195724
11.0,11,131.216038
9.0,9,131.232675
8.0,8,131.247457
8.0,8,131.262211
10.0,10,131.280626
9.0,9,131.297248
9.0,9,131.313822
9.0,9,134.036238
9.0,9,134.053404
10.0,10,134.072212
10.0,10,134.091019
10.0,10,134.110664
9.0,9,134.128409
9.0,9,134.145772
10.0,10,134.165474
9.0,9,134.184013
10.0,10,134.203528
10.0,10,134.22236
9.0,9,134.239135
10.0,10,134.257851
9.0,9,134.274811
9.0,9,134.291535
10.0,10,134.310321
10.0,10,134.3289
9.0,9,134.345493
10.0,10,134.363979
10.0,10,134.382384
11.0,11,134.40254
9.0,9,134.419155
10.0,10,134.437518
10.0,10,134.455957
10.0,10,134.47422
9.0,9,134.490726
9.0,9,134.507241
8.0,8,134.52187
9.0,9,134.538154
10.0,10,134.556247
10.0,10,134.574339
9.0,9,134.590815
10.0,10,134.609034
10.0,10,134.627101
9.0,9,134.64357
9.0,9,134.659973
9.0,9,134.67633
10.0,10,134.694529
11.0,11,134.714545
10.0,10,134.732731
8.0,8,134.747242
8.0,8,134.761753
9.0,9,134.778264
10.0,10,134.796508
9.0,9,134.812887
8.0,8,134.827712
10.0,10,134.845949
10.0,10,134.864118
9.0,9,134.880493
9.0,9,134.897021
8.0,8,134.911806
9.0,9,134.928331
10.0,10,134.946604
9.0,9,134.963051
9.0,9,134.979508
9.0,9,134.995962
11.0,11,135.016159
10.0,10,135.034554
8.0,8,135.049232
10.0,10,135.067447
10.0,10,135.085675
8.0,8,135.10038
10.0,10,135.11856
11.0,11,135.138638
10.0,10,135.15714
9.0,9,135.173868
11.0,11,135.194282
10.0,10,135.212916
8.0,8,135.227761
10.0,10,135.246279
10.0,10,135.264848
9.0,9,135.281516
9.0,9,135.298223
8.0,8,135.313103
10.0,10,135.331623
10.0,10,135.350158
9.0,9,135.366825
9.0,9,135.383523
9.0,9,135.400254
9.0,9,135.416922
9.0,9,135.43366
9.0,9,135.450411
9.0,9,135.467162
9.0,9,135.483864
9.0,9,135.500967
10.0,10,135.520173
9.0,9,135.537055
10.0,10,135.555801
8.0,8,135.570848
9.0,9,135.587889
9.0,9,135.605365
10.0,10,135.624381
10.0,10,135.643275
9.0,9,135.660082
10.0,10,135.678658
9.0,9,135.695399
11.0,11,135.715794
9.0,9,135.732535
10.0,10,135.751112
8.0,8,135.766002
9.0,9,135.782733
10.0,10,135.801263
9.0,9,135.818057
9.0,9,135.834884
9.0,9,135.851658
10.0,10,135.870319
9.0,9,135.887035
8.0,8,135.901926
10.0,10,135.920459
9.0,9,135.937192
9.0,9,135.953897
8.0,8,135.968743
9.0,9,135.985945
8.0,8,136.001256
8.0,8,136.016019
9.0,9,136.032695
9.0,9,136.049359
9.0,9,136.066438
8.0,8,136.081735
8.0,8,136.097392
9.0,9,136.11446
10.0,10,136.13305
10.0,10,136.151779
11.0,11,136.172309
8.0,8,136.187483
10.0,10,136.205938
10.0,10,136.224077
10.0,10,136.242226
8.0,8,136.256934
